part_number,vendor_id,brand,description,category,unit_cost,sell_price,qty_on_hand,qty_reserved,reorder_point,location_bin,core_charge,taxable,active,supersedes_part_number,barcode,notes,last_received_at
BEL-42500,VEND-006,Bosch,Oil filter Economy,Belts,98.72,449.23,38,14,14,,0,true,true,,267299308116,Negative qty from bad count,2025-02-25T13:30
LIG-28355,VEND-004,Denso,Spark plugs set,Lighting,194.14,942.13,35,2,9,TIRE-CAGE,64.42,false,false,OLD-3381,191998739502,Legacy duplicate SKU?,2024-11-24T13:30
TIR-11615,VEND-007,NAPA,Brake pad set rear,Tires,128.56,475.16,106,9,12,,0,false,true,,007635318721,Legacy duplicate SKU?,2025-04-06
HVA-75972,VEND-009,NAPA,Shock absorber Economy,HVAC,470.25,934.6,116,5,19,A-4-20,0,true,true,,040695880566,Special order only,2024-06-24 13:30:28
LIG-26675,VEND-002,Motorcraft,Wheel seal kit Premium,Lighting,247.34,592.21,110,1,5,TIRE-CAGE,41.15,true,true,,868212465109,Core tracked externally,2024-09-29
TIR-61576,VEND-001,Wagner,Cabin air filter Premium,Tires,355.27,380.46,105,15,3,,55.84,false,true,,392144977967,,2025-12-23T13:30
BOD-68094,VEND-002,Moog,DEF fluid 9.46L,Body,606.18,508.52,21,3,21,,0,false,true,,027023530898,Negative qty from bad count,02/18/2026
LIG-67572,VEND-008,ACDelco,Spark plugs set HD,Lighting,438.15,227.08,0,15,0,B-3-16,0,true,true,,535400633826,Negative qty from bad count,2026-02-21T13:30
ENG-95966,VEND-009,NAPA,Spark plugs set Premium,Engine,52.89,547.21,94,11,21,TIRE-CAGE,74.06,true,false,,070036809006,,2025-12-18T13:30
BRA-85314,VEND-001,Monroe,Tie rod end,Brakes,441.21,762.79,108,13,5,,71.09,false,false,,,Special order only,2025-05-19T13:30
ELE-33371,VEND-007,FleetGuard,Spark plugs set Premium,Electrical,431.89,712.07,4,15,9,,108.93,true,false,OLD-4967,384268927007,Legacy duplicate SKU?,2025-05-25T13:30
BRA-40176,VEND-007,Wagner,Spark plugs set,Brakes,404.3,402.05,4,13,9,TIRE-CAGE,102.14,false,true,,023923971906,Legacy duplicate SKU?,2025-12-04T13:30
STE-48256,VEND-009,Motorcraft,Headlamp bulb Premium,Steering,210.71,762.62,109,14,14,A-11-22,35.11,false,true,,269187178077,Special order only,02/28/2026
LIG-37442,VEND-009,FleetGuard,Cabin air filter Economy,Lighting,207.03,385.44,62,5,27,,69.84,true,false,,,Core tracked externally,2026-02-01T13:30
FIL-11600,VEND-006,Wagner,Cabin air filter,Filters,313.33,491.89,0,5,9,FLUID-RACK,0,false,false,,944164011009,Core tracked externally,2025-09-08 13:30:28
HVA-84256,VEND-006,OEM,Spark plugs set,HVAC,501.27,911.13,65,13,28,B-7-13,45.47,false,true,,,,2025-09-03
ENG-40993,VEND-006,NAPA,Shock absorber,Engine,55.59,790.18,100,6,16,,0,true,false,,,,2024-10-01T13:30
BRA-63342,VEND-009,Wagner,Starter,Brakes,392.32,924.59,10,1,8,FLUID-RACK,110.88,true,false,,891951565969,Special order only,2026-01-04T13:30
TIR-31836,VEND-007,Bosch,Headlamp bulb Economy,Tires,530.71,453.51,70,12,7,FLUID-RACK,0,false,true,OLD-3253,599391443878,,2024-09-13
LIG-56397,VEND-005,Bosch,Headlamp bulb,Lighting,271.74,709.23,84,15,22,,0,false,true,OLD-1468,943139637071,Negative qty from bad count,2025-01-21T13:30
HOS-58758,VEND-008,Denso,DEF fluid 9.46L,Hoses,551.51,903.27,50,4,24,A-4-17,0,true,true,,036331499391,Core tracked externally,2025-02-06T13:30
ENG-52666,VEND-006,Motorcraft,Alternator Economy,Engine,153.65,535.18,-1,9,5,,0,true,true,,,,08/18/2025
BRA-95403,VEND-004,Wagner,DEF fluid 9.46L,Brakes,210.02,650.74,110,1,29,TIRE-CAGE,0,true,false,OLD-7326,525879784527,Special order only,2025-11-21T13:30
LIG-93851,VEND-007,Wagner,Radiator hose upper Economy,Lighting,511.74,259.3,85,15,2,,0,true,true,,701515115791,Negative qty from bad count,2025-04-03T13:30
TIR-12715,VEND-003,Wagner,Brake pad set rear,Tires,468.52,1018.18,12,13,8,FLUID-RACK,0,true,true,,381139913147,Negative qty from bad count,10/23/2024
STE-95180,VEND-002,FleetGuard,DEF fluid 9.46L,Steering,460.45,593.53,27,15,3,,12.7,true,false,,143403003725,Negative qty from bad count,2026-02-26T13:30
BRA-65851,VEND-002,ACDelco,Radiator hose upper,Brakes,346.04,41.96,3,11,15,B-4-17,0,true,true,,,Special order only,2025-08-06 13:30:28
TIR-10770,VEND-008,OEM,Engine air filter Economy,Tires,268.44,1039.62,54,12,27,,38.13,true,true,,612602986917,Core tracked externally,2025-12-13T13:30
SUS-28684,VEND-005,OEM,Battery 94R,Suspension,171.46,572.32,120,9,1,B-3-25,0,true,true,,231660818273,Special order only,2024-08-05 13:30:28
BOD-74453,VEND-010,Monroe,Radiator hose upper HD,Body,389.57,870.1,79,12,29,A-11-5,0,true,true,,819110301440,Special order only,2024-10-15
BOD-96180,VEND-009,OEM,Headlamp bulb,Body,571.78,41.8,41,6,2,A-3-13,0,false,true,,719107607573,Negative qty from bad count,2026-02-18
BEL-27259,VEND-007,ACDelco,Tie rod end,Belts,137.09,1108.36,67,9,14,TIRE-CAGE,0,true,false,,,Legacy duplicate SKU?,2025-12-05 13:30:28
ENG-16236,VEND-010,FleetGuard,Headlamp bulb,Engine,452.69,104.26,39,7,8,FLUID-RACK,8.45,true,false,,752175212957,,2025-05-07
ENG-55181,VEND-004,NAPA,Headlamp bulb HD,Engine,254.29,75.39,12,14,14,TIRE-CAGE,95.08,false,false,,,,2025-03-11T13:30
SUS-80488,VEND-004,Denso,Brake pad set rear,Suspension,212.91,1043.41,19,1,17,FLUID-RACK,107.48,true,false,OLD-5415,,Legacy duplicate SKU?,2025-12-01T13:30
TIR-51877,VEND-001,Moog,Shock absorber,Tires,279.17,419.56,49,10,17,B-3-15,0,false,false,,841185087488,Negative qty from bad count,2026-03-07T13:30
BEL-90864,VEND-005,Wagner,Battery 94R,Belts,323.09,389.51,82,9,2,TIRE-CAGE,0,true,false,,,Negative qty from bad count,02/18/2026
STE-67865,VEND-005,Moog,Alternator,Steering,23.78,295.23,19,6,12,B-4-5,0,true,false,,,Legacy duplicate SKU?,2025-06-06 13:30:28
BEL-26365,VEND-008,FleetGuard,Tie rod end,Belts,38.22,1112.17,30,6,9,A-3-2,0,true,false,,773212725062,Negative qty from bad count,2025-02-10T13:30
BRA-32157,VEND-003,Bosch,Radiator hose upper,Brakes,463.23,192.09,106,13,16,B-3-5,0,false,false,,259814529085,Special order only,11/22/2024
ENG-90973,VEND-005,Wagner,Starter HD,Engine,227.15,876.66,34,8,9,B-2-12,40.13,true,false,,,Special order only,2026-03-23T13:30
TIR-18198,VEND-010,Motorcraft,Brake pad set rear Premium,Tires,67.21,91.77,12,3,7,,0,true,true,,,Core tracked externally,2025-12-03
ENG-13142,VEND-001,NAPA,Serpentine belt,Engine,372.44,692.12,60,14,13,,0,false,false,,348729015396,,2024-09-05T13:30
SUS-55946,VEND-005,Monroe,DEF fluid 9.46L,Suspension,16.35,78.73,86,13,22,,0,true,false,,295736217633,Core tracked externally,12/20/2025
ENG-92762,VEND-008,Denso,Wheel seal kit,Engine,428.28,1100.75,98,12,19,,0,true,false,,,Negative qty from bad count,02/03/2026
LIG-52872,VEND-009,ACDelco,Alternator HD,Lighting,130.22,429.78,108,10,18,TIRE-CAGE,0,true,true,,890754125395,Legacy duplicate SKU?,2025-11-21T13:30
FLU-40296,VEND-006,Denso,Cabin air filter,Fluids,100.75,1100.76,41,3,14,,0,false,false,,597731998856,Legacy duplicate SKU?,2024-11-10
BEL-62731,VEND-003,Bosch,Oil filter,Belts,548.54,1144.84,-2,6,27,,0,true,true,,471400196688,,11/07/2024
BRA-60943,VEND-005,Moog,Wheel seal kit HD,Brakes,556.91,133.5,59,15,7,FLUID-RACK,0,true,true,,135359470649,,2025-11-04T13:30
STE-44589,VEND-008,Motorcraft,Brake pad set rear,Steering,329.56,1063.35,15,14,19,B-5-22,0,true,true,,,Negative qty from bad count,2025-03-18T13:30
STE-79766,VEND-005,Wagner,Brake pad set rear,Steering,235.59,776.37,39,3,4,B-8-19,52.42,false,true,,,Negative qty from bad count,2025-05-05
HVA-55919,VEND-006,Denso,Engine air filter,HVAC,290.08,883.8,7,3,21,,0,true,false,,,,2025-09-16T13:30
FLU-15332,VEND-006,NAPA,Wheel seal kit,Fluids,405.38,371.79,73,3,12,B-1-15,0,false,false,,813745631427,Core tracked externally,2024-07-29
ENG-43703,VEND-005,Moog,Spark plugs set,Engine,4.22,338.64,20,0,0,FLUID-RACK,6.32,true,false,,214942560520,Negative qty from bad count,2024-09-13T13:30
BEL-69537,VEND-002,Moog,Tie rod end,Belts,116.4,1013.88,95,6,24,TIRE-CAGE,0,true,true,,568396251674,Core tracked externally,2025-09-02T13:30
SUS-68379,VEND-005,Wagner,Cabin air filter,Suspension,109.08,290.83,96,0,27,TIRE-CAGE,0,false,true,,005630144498,Negative qty from bad count,12/23/2024
LIG-60129,VEND-003,Wagner,Cabin air filter,Lighting,214.29,1062.11,30,8,3,B-8-16,76.41,false,true,OLD-2342,193371408106,Core tracked externally,04/06/2025
BEL-95201,VEND-001,NAPA,Serpentine belt Economy,Belts,281.96,1049.22,81,14,8,A-9-29,0,false,true,,159000136076,Special order only,12/06/2024
HVA-42437,VEND-009,OEM,Engine air filter,HVAC,340.93,908.38,23,14,6,FLUID-RACK,0,true,true,,256150855039,Core tracked externally,2025-11-28T13:30
TIR-17390,VEND-003,Bosch,Battery 94R,Tires,114.78,124.84,-2,4,17,,0,false,true,,857161337594,Negative qty from bad count,2026-01-10T13:30
SUS-71553,VEND-009,NAPA,Oil filter HD,Suspension,512.05,198.86,44,1,26,,0,false,true,,,Negative qty from bad count,2025-06-12T13:30
BOD-55631,VEND-008,Moog,Starter HD,Body,219.2,196.84,33,15,29,TIRE-CAGE,0,true,true,OLD-2175,734440442347,Legacy duplicate SKU?,2024-07-31T13:30
FLU-70491,VEND-001,Motorcraft,Starter,Fluids,362.77,317.37,95,10,29,,0,true,true,,009471993424,Core tracked externally,2025-01-31
BRA-60383,VEND-009,FleetGuard,Headlamp bulb,Brakes,145.4,1143.87,68,14,7,FLUID-RACK,0,true,true,,635428225707,Negative qty from bad count,2025-07-18
BEL-59264,VEND-009,Denso,Tie rod end Economy,Belts,66.9,937.09,68,1,8,A-6-31,0,true,true,,634094569974,Special order only,2024-05-08 13:30:28
FIL-60475,VEND-010,Monroe,Cabin air filter HD,Filters,137.17,1079.13,3,9,12,B-5-23,8.14,false,true,,,Core tracked externally,2024-10-08
HVA-32544,VEND-007,Monroe,Starter,HVAC,511.97,22.65,4,14,0,FLUID-RACK,0,false,true,,,Legacy duplicate SKU?,2024-08-04
BEL-70830,VEND-005,NAPA,Wheel seal kit Economy,Belts,276.04,284.5,27,5,27,TIRE-CAGE,0,true,true,,,,2026-03-25
SUS-70695,VEND-001,ACDelco,Brake pad set front,Suspension,277.72,85.68,52,3,17,,0,true,false,OLD-4810,893316134941,Core tracked externally,2025-05-12
STE-59741,VEND-002,NAPA,Headlamp bulb,Steering,416.83,870.25,53,0,11,B-7-23,0,true,true,,323763512873,Core tracked externally,2024-10-03T13:30
SUS-60318,VEND-002,Bosch,Brake pad set rear Premium,Suspension,285.4,790.22,40,6,6,TIRE-CAGE,0,true,false,,935068908101,Legacy duplicate SKU?,2026-02-23T13:30
STE-38688,VEND-004,Moog,Headlamp bulb,Steering,34.26,700.85,33,10,26,B-8-21,0,false,true,OLD-1387,750604459787,Core tracked externally,2024-10-31 13:30:28
SUS-31008,VEND-001,FleetGuard,Engine air filter,Suspension,485.17,526.9,97,2,26,FLUID-RACK,0,true,true,OLD-6918,416115450138,,02/08/2025
FIL-67085,VEND-010,Motorcraft,Brake pad set front Premium,Filters,614.4,855.12,97,3,7,TIRE-CAGE,0,true,false,,,Core tracked externally,2025-08-27 13:30:28
TIR-86725,VEND-005,Monroe,Alternator,Tires,66.86,185.45,26,10,8,,96.7,true,true,,,Legacy duplicate SKU?,2025-07-01T13:30
BOD-28687,VEND-007,Wagner,Spark plugs set,Body,569.1,623.83,117,10,3,A-4-19,0,false,true,,967665400232,,2024-07-20T13:30
HOS-90881,VEND-003,FleetGuard,Engine air filter,Hoses,536.41,1042.59,47,2,25,B-7-25,43.22,false,true,,423309880680,Legacy duplicate SKU?,2025-04-10T13:30
LIG-23612,VEND-002,Denso,Spark plugs set,Lighting,458.76,632.67,5,5,8,TIRE-CAGE,0,false,false,,,Legacy duplicate SKU?,2024-09-27T13:30
FLU-32683,VEND-002,NAPA,Alternator Economy,Fluids,500.27,560.23,-1,6,19,A-1-36,0,false,true,,374479876383,Legacy duplicate SKU?,2025-05-09T13:30
SUS-90719,VEND-009,Moog,DEF fluid 9.46L,Suspension,81.8,148.08,12,13,9,FLUID-RACK,0,false,false,,,Core tracked externally,2026-01-22
TIR-73213,VEND-010,OEM,Starter HD,Tires,398.24,351.06,110,6,1,FLUID-RACK,0,true,false,,525667508816,Core tracked externally,2025-05-09
STE-99224,VEND-001,Denso,Brake pad set front,Steering,247.17,566.01,101,15,15,TIRE-CAGE,0,true,true,,,Special order only,02/05/2025
FLU-88580,VEND-002,OEM,Serpentine belt,Fluids,490.2,852.94,74,6,8,,0,true,true,,,Special order only,2025-09-12T13:30
BEL-20316,VEND-010,OEM,Tie rod end,Belts,379.24,61.93,51,8,17,A-3-9,0,true,true,,122425944258,Negative qty from bad count,2024-11-01T13:30
ENG-97581,VEND-007,OEM,Battery 94R HD,Engine,360.19,13.08,17,1,4,,0,false,false,,531523921542,Negative qty from bad count,2026-01-20
FLU-57557,VEND-006,OEM,Headlamp bulb,Fluids,567.31,621.33,34,3,5,FLUID-RACK,0,false,true,,555821232529,Core tracked externally,2025-04-24T13:30
HVA-16473,VEND-008,Wagner,Engine air filter,HVAC,137.21,304.38,85,5,20,TIRE-CAGE,0,true,true,,165674664588,Negative qty from bad count,2024-06-29T13:30
HOS-23373,VEND-006,Denso,Serpentine belt,Hoses,229.24,359.69,53,5,6,,0,true,false,,227497400503,Negative qty from bad count,2024-10-15
STE-29190,VEND-010,Motorcraft,Starter Economy,Steering,276.35,870.42,34,4,12,A-3-37,0,true,true,,169553298627,Negative qty from bad count,2024-05-22
SUS-14249,VEND-002,ACDelco,Spark plugs set,Suspension,139.56,701.0,30,5,5,TIRE-CAGE,55.12,false,false,,628731662545,Legacy duplicate SKU?,2024-05-22
ENG-31876,VEND-010,Bosch,Radiator hose upper Economy,Engine,355.72,983.78,107,14,23,A-4-37,0,true,true,OLD-7879,,Special order only,04/04/2025
HVA-95015,VEND-007,FleetGuard,Starter HD,HVAC,147.6,695.09,103,3,11,TIRE-CAGE,0,true,true,,067374192352,Legacy duplicate SKU?,2026-01-06T13:30
HOS-64713,VEND-003,Wagner,DEF fluid 9.46L,Hoses,587.53,896.43,90,7,20,FLUID-RACK,117.49,true,false,,239993957605,,2024-08-21 13:30:28
ELE-93271,VEND-010,OEM,Cabin air filter,Electrical,638.23,946.06,118,0,24,FLUID-RACK,0,true,false,,580477758845,Legacy duplicate SKU?,2026-04-06T13:30
SUS-24710,VEND-003,Moog,Radiator hose upper,Suspension,526.07,274.55,51,5,20,FLUID-RACK,0,true,true,,766136283555,,03/17/2025
ENG-78751,VEND-010,Motorcraft,Spark plugs set HD,Engine,42.85,315.39,117,6,8,TIRE-CAGE,0,true,true,,321698127476,Negative qty from bad count,2025-08-03 13:30:28
LIG-10890,VEND-004,Moog,Serpentine belt Economy,Lighting,240.14,12.5,64,8,27,,94.82,true,false,,970263326021,,2025-01-03
ENG-90970,VEND-008,Denso,Serpentine belt,Engine,483.95,1073.56,55,7,4,B-6-21,0,false,true,,112986415736,Core tracked externally,2024-10-16T13:30
ENG-50340,VEND-009,Wagner,Oil filter,Engine,201.83,141.98,67,8,14,TIRE-CAGE,0,true,false,,596141901226,Special order only,01/21/2026
HVA-46099,VEND-008,Denso,Cabin air filter,HVAC,547.21,6.45,77,15,18,B-5-19,0,true,true,,,,2025-05-15T13:30
ENG-33575,VEND-006,FleetGuard,Shock absorber,Engine,348.5,933.5,114,11,14,FLUID-RACK,15.93,true,true,,071876144254,Special order only,2025-06-06
ELE-44299,VEND-009,Denso,Tie rod end,Electrical,502.95,948.64,80,4,6,FLUID-RACK,0,false,true,,743514699197,Legacy duplicate SKU?,2024-09-02T13:30
LIG-10366,VEND-004,Moog,Battery 94R HD,Lighting,307.13,790.77,94,0,2,A-11-33,0,true,true,,058360149022,Negative qty from bad count,2024-12-17T13:30
BEL-58621,VEND-005,FleetGuard,Oil filter,Belts,177.05,1041.51,28,11,23,A-4-23,0,false,true,OLD-6422,,Negative qty from bad count,2025-03-06T13:30
ELE-56129,VEND-009,Motorcraft,Tie rod end,Electrical,383.1,609.65,61,4,7,TIRE-CAGE,0,true,false,,336460368934,Core tracked externally,2026-03-04 13:30:28
HVA-44811,VEND-001,Wagner,Serpentine belt,HVAC,262.89,786.3,12,0,20,,95.02,true,true,OLD-6775,,Special order only,2025-12-03T13:30
FLU-85015,VEND-001,Wagner,Radiator hose upper Economy,Fluids,178.73,422.03,103,0,11,A-9-32,0,false,true,,,Legacy duplicate SKU?,12/05/2024
FLU-23154,VEND-004,OEM,Alternator HD,Fluids,205.43,604.85,41,8,14,TIRE-CAGE,0,true,true,,,Special order only,2025-08-29
STE-76483,VEND-002,Bosch,Shock absorber,Steering,71.72,451.31,79,7,15,TIRE-CAGE,0,true,true,,353648355127,,04/26/2025
FLU-70395,VEND-008,OEM,Brake pad set rear Premium,Fluids,80.33,1013.14,92,4,5,FLUID-RACK,0,false,true,,612220100704,Special order only,2026-01-11T13:30
TIR-34231,VEND-004,Wagner,Shock absorber,Tires,351.07,292.56,37,0,4,B-7-3,0,false,true,,,Special order only,2026-01-26T13:30
BEL-50309,VEND-001,Wagner,Tie rod end,Belts,612.09,651.96,44,15,5,,0,true,false,,381496859493,Core tracked externally,2024-10-12
SUS-97334,VEND-007,FleetGuard,Cabin air filter,Suspension,399.54,487.06,115,7,9,FLUID-RACK,0,true,true,,,Negative qty from bad count,2024-05-19T13:30
FLU-12359,VEND-009,Moog,DEF fluid 9.46L Economy,Fluids,179.24,82.29,77,11,4,TIRE-CAGE,27.57,true,true,,,Special order only,2025-06-13
HOS-14647,VEND-009,Monroe,Engine air filter,Hoses,332.83,1135.25,96,13,24,B-4-5,41.45,true,true,,563587170064,Negative qty from bad count,2025-11-24T13:30
BRA-35268,VEND-004,Monroe,Starter Premium,Brakes,148.0,684.95,21,5,14,A-11-40,0,true,true,,935985290143,Legacy duplicate SKU?,2024-12-03 13:30:28
HVA-57963,VEND-004,Moog,DEF fluid 9.46L,HVAC,296.87,467.89,114,12,2,A-3-15,0,true,true,,346097014484,,2024-12-31T13:30
STE-46044,VEND-001,Wagner,Radiator hose upper Economy,Steering,64.7,902.42,-2,0,23,A-2-34,0,false,false,,912999829177,,2025-03-28T13:30
BOD-86059,VEND-004,Wagner,Brake pad set front,Body,51.27,245.78,102,3,13,B-4-8,0,true,true,,749012752378,Negative qty from bad count,2026-02-27 13:30:28
BEL-89776,VEND-004,Denso,Cabin air filter,Belts,59.7,398.05,68,15,27,,86.06,true,true,,855932363328,Special order only,10/23/2025
TIR-17870,VEND-008,Bosch,Shock absorber,Tires,228.29,209.49,85,3,8,,53.0,true,true,,659019533660,Negative qty from bad count,2025-02-15T13:30
FLU-14371,VEND-009,OEM,Headlamp bulb,Fluids,524.7,168.5,57,10,21,FLUID-RACK,0,true,true,,000827422093,Special order only,2024-05-24T13:30
FLU-58271,VEND-004,Moog,Spark plugs set,Fluids,115.44,1104.66,111,12,2,TIRE-CAGE,0,true,false,OLD-4885,720492822179,Special order only,02/22/2026
SUS-76143,VEND-003,Monroe,Brake pad set rear Economy,Suspension,79.41,802.39,-1,11,21,TIRE-CAGE,0,true,false,OLD-3142,181156139423,Special order only,2025-06-09T13:30
BRA-46424,VEND-009,Denso,Starter Premium,Brakes,375.44,648.73,61,11,10,,0,true,true,,030589709403,Negative qty from bad count,2026-01-28T13:30
HVA-40741,VEND-003,Denso,Cabin air filter,HVAC,607.36,87.9,97,13,23,,0,false,false,,326422434034,Negative qty from bad count,2025-04-19T13:30
SUS-94877,VEND-010,FleetGuard,Engine air filter Economy,Suspension,599.13,1063.18,89,6,13,TIRE-CAGE,46.96,false,true,,,Legacy duplicate SKU?,2025-11-13T13:30
STE-32744,VEND-003,NAPA,DEF fluid 9.46L,Steering,486.7,262.24,107,11,9,,0,true,true,,867666071398,Core tracked externally,03/11/2026
BOD-72749,VEND-006,Wagner,Shock absorber,Body,200.83,237.19,-1,2,16,,0,true,false,,028227339312,Core tracked externally,2024-07-19
TIR-32381,VEND-007,Wagner,Starter,Tires,77.24,407.59,12,4,9,,0,false,false,OLD-9024,516766395981,Legacy duplicate SKU?,03/15/2025
HVA-28154,VEND-004,Moog,Headlamp bulb Economy,HVAC,397.02,118.05,62,11,28,A-4-30,0,true,true,,912887509377,Special order only,2024-09-19 13:30:28
STE-49817,VEND-010,Motorcraft,Serpentine belt HD,Steering,586.87,538.38,36,8,4,TIRE-CAGE,0,true,false,,,,05/29/2025
BOD-56159,VEND-009,Wagner,Oil filter,Body,221.89,488.1,8,8,1,TIRE-CAGE,0,false,false,,,Legacy duplicate SKU?,2024-06-30T13:30
ELE-23581,VEND-001,Monroe,Wheel seal kit,Electrical,48.12,408.53,118,5,4,TIRE-CAGE,87.76,true,true,,,Special order only,2025-07-10
TIR-78192,VEND-010,FleetGuard,Tie rod end Premium,Tires,154.4,733.78,0,9,23,,114.55,true,true,,588110307803,Core tracked externally,2025-10-09T13:30
LIG-98527,VEND-009,Denso,Starter Premium,Lighting,616.58,807.26,2,5,21,,0,false,false,,992209035005,,2024-05-26
STE-17375,VEND-008,Denso,Serpentine belt,Steering,21.49,861.4,96,9,24,,0,true,true,OLD-3524,781025214867,Legacy duplicate SKU?,2024-10-14T13:30
STE-18677,VEND-008,Denso,Engine air filter Economy,Steering,335.16,811.34,87,11,21,B-3-20,60.39,false,true,,,,2025-04-08T13:30
ENG-81594,VEND-008,Monroe,Tie rod end,Engine,360.96,630.84,72,7,24,FLUID-RACK,0,false,false,,589944723106,,2025-05-29T13:30
FLU-68178,VEND-008,NAPA,Headlamp bulb Premium,Fluids,642.46,66.91,111,6,25,,0,false,true,,134582504039,Special order only,04/01/2025
BEL-79117,VEND-002,ACDelco,Wheel seal kit,Belts,434.28,751.42,51,1,10,FLUID-RACK,0,false,true,,014034057833,Negative qty from bad count,2025-06-24
FLU-14345,VEND-004,FleetGuard,Oil filter Premium,Fluids,198.97,1000.51,68,6,15,FLUID-RACK,0,true,false,OLD-5232,459194928026,Legacy duplicate SKU?,04/23/2024
STE-63812,VEND-005,Motorcraft,Starter Premium,Steering,366.91,1105.61,76,6,25,B-8-10,0,true,true,,844240152559,Core tracked externally,09/23/2024
BRA-44591,VEND-008,Monroe,Headlamp bulb Premium,Brakes,330.96,704.53,71,0,18,TIRE-CAGE,102.26,true,false,,216613716591,Legacy duplicate SKU?,04/27/2024
ELE-95942,VEND-001,NAPA,Radiator hose upper Premium,Electrical,211.36,126.14,9,0,7,,0,false,false,,,Legacy duplicate SKU?,2024-11-30T13:30
ENG-87996,VEND-001,NAPA,Engine air filter HD,Engine,34.22,351.23,51,0,4,FLUID-RACK,0,true,true,,914366884525,,2025-11-22T13:30
BEL-56648,VEND-008,OEM,Starter,Belts,164.84,1008.64,26,11,7,A-6-5,0,true,false,,466151430212,,2025-10-22 13:30:28
FLU-82738,VEND-006,NAPA,Brake pad set front Economy,Fluids,34.45,844.9,31,8,10,TIRE-CAGE,0,true,false,,057170697353,Negative qty from bad count,2024-08-18 13:30:28
BEL-99945,VEND-002,NAPA,Shock absorber HD,Belts,256.84,923.11,119,13,25,B-5-12,0,true,true,,693834307267,Core tracked externally,2025-03-22
STE-53257,VEND-010,Motorcraft,Serpentine belt HD,Steering,282.38,46.74,40,3,2,,13.19,true,false,,,,2024-08-03
STE-66312,VEND-006,FleetGuard,Radiator hose upper Premium,Steering,170.45,54.21,68,4,28,B-3-2,0,false,true,,074373360861,Core tracked externally,2025-09-20T13:30
LIG-12644,VEND-006,OEM,Shock absorber,Lighting,171.95,544.32,117,0,12,FLUID-RACK,111.1,false,true,,655622304125,,2025-11-21 13:30:28
BEL-54011,VEND-006,Moog,Spark plugs set,Belts,202.36,31.14,31,11,28,FLUID-RACK,0,true,true,OLD-3903,963665839642,Special order only,2025-07-02T13:30
FIL-60946,VEND-001,OEM,Spark plugs set,Filters,463.86,924.85,108,10,13,FLUID-RACK,47.99,false,true,OLD-6130,277997276586,Core tracked externally,2024-06-21
BRA-53595,VEND-003,Denso,Serpentine belt,Brakes,483.29,346.58,28,7,12,FLUID-RACK,0,false,true,,,,2025-03-12
LIG-36285,VEND-003,Motorcraft,Serpentine belt,Lighting,94.96,382.42,26,3,4,B-6-15,71.78,true,false,,025323321784,Core tracked externally,2024-11-21T13:30
BEL-18872,VEND-002,Motorcraft,Brake pad set rear,Belts,229.21,920.78,23,4,3,TIRE-CAGE,0,false,true,,017805211337,Negative qty from bad count,2025-04-26T13:30
ELE-14705,VEND-008,NAPA,Alternator,Electrical,192.03,739.08,5,2,30,B-4-11,25.6,true,false,,244381742625,Negative qty from bad count,2026-02-13
BRA-28527,VEND-003,NAPA,Spark plugs set,Brakes,491.82,718.21,114,6,25,,0,true,true,,570717591439,Negative qty from bad count,2025-02-24T13:30
SUS-33417,VEND-005,Monroe,Serpentine belt Premium,Suspension,565.97,592.98,81,7,29,,0,true,true,,319569423773,,2026-03-01T13:30
BEL-37060,VEND-004,OEM,Tie rod end Premium,Belts,253.31,626.61,75,6,11,FLUID-RACK,0,false,false,,678909206971,Special order only,2024-11-17 13:30:28
HVA-30386,VEND-009,Monroe,Brake pad set rear Premium,HVAC,61.33,1047.7,52,10,0,TIRE-CAGE,27.04,true,true,,892428758031,Legacy duplicate SKU?,2025-01-26
BOD-89340,VEND-002,NAPA,Wheel seal kit Economy,Body,311.91,352.67,59,15,10,TIRE-CAGE,0,true,true,,738674555347,Negative qty from bad count,2024-11-08T13:30
ELE-22505,VEND-007,NAPA,Radiator hose upper,Electrical,587.54,662.81,102,10,29,A-4-21,0,false,false,,658655581399,Negative qty from bad count,07/02/2024
FIL-55558,VEND-009,OEM,Tie rod end Premium,Filters,601.63,394.16,21,9,3,FLUID-RACK,0,true,true,,295698285040,,2025-01-06T13:30
LIG-90607,VEND-007,Denso,Engine air filter,Lighting,235.01,453.68,-2,8,3,,0,true,false,OLD-3134,792655765141,Negative qty from bad count,11/10/2025
TIR-75367,VEND-009,FleetGuard,Brake pad set rear Premium,Tires,329.24,752.75,78,10,28,TIRE-CAGE,52.51,true,true,,836489252487,Special order only,2024-11-21
SUS-20137,VEND-002,Motorcraft,Alternator,Suspension,242.23,1006.39,84,10,25,A-10-32,0,true,false,,,Negative qty from bad count,09/25/2024
TIR-53277,VEND-004,Bosch,Engine air filter,Tires,389.36,958.05,81,8,9,TIRE-CAGE,0,false,true,,634229024381,,2025-05-06T13:30
BEL-89138,VEND-009,OEM,Wheel seal kit Premium,Belts,43.62,38.52,107,12,23,B-3-5,0,true,true,,064691177700,Special order only,2025-10-16T13:30
FLU-40053,VEND-010,Motorcraft,Brake pad set rear Premium,Fluids,30.79,344.02,54,8,0,A-8-24,0,true,true,,599707092418,Core tracked externally,01/15/2026
ENG-23960,VEND-007,FleetGuard,Spark plugs set HD,Engine,560.2,745.8,87,13,20,TIRE-CAGE,0,true,true,,,,01/28/2026
